
Date

Price

Open

High

Low

Vol.

Change %
Nov 30, 2024	3,376.86	3,702.96	4,102.90	3,103.72	17.54M	-8.81%
Oct 31, 2024	3,702.97	2,519.14	3,733.47	2,362.91	19.80M	+46.99%
Sep 30, 2024	2,519.14	2,602.30	2,766.10	2,311.68	9.66M	-3.24%
Aug 31, 2024	2,603.48	2,513.06	2,726.69	2,151.80	8.99M	+3.58%
Jul 31, 2024	2,513.56	3,231.81	3,242.07	2,166.31	13.99M	-22.22%
Jun 30, 2024	3,231.84	3,437.84	3,559.66	2,822.44	9.44M	-5.99%
May 31, 2024	3,437.84	3,762.63	3,885.15	3,245.76	8.25M	-8.63%
Apr 30, 2024	3,762.66	3,014.38	3,976.00	2,819.19	12.26M	+24.82%
Mar 31, 2024	3,014.41	3,647.08	3,727.87	2,863.89	13.48M	-17.35%
Feb 29, 2024	3,647.09	3,339.25	4,091.28	3,063.60	18.54M	+9.22%
Jan 31, 2024	3,339.26	2,283.14	3,520.80	2,240.79	13.12M	+46.26%
Dec 31, 2023	2,283.14	2,281.89	2,712.88	2,122.78	13.90M	+0.05%
Nov 30, 2023	2,281.90	2,051.59	2,443.59	2,045.39	12.55M	+11.23%
Oct 31, 2023	2,051.56	1,815.12	2,135.91	1,779.79	12.42M	+13.03%
Sep 30, 2023	1,815.13	1,670.92	1,864.81	1,523.78	8.89M	+8.63%
Aug 31, 2023	1,670.92	1,645.82	1,693.68	1,533.95	6.62M	+1.53%
Jul 31, 2023	1,645.82	1,856.17	1,879.32	1,560.88	7.81M	-11.33%
Jun 30, 2023	1,856.17	1,933.80	2,025.56	1,827.35	7.58M	-4.01%
May 31, 2023	1,933.80	1,873.62	1,943.65	1,632.50	10.54M	+3.21%
Apr 30, 2023	1,873.63	1,869.05	2,013.10	1,741.48	11.91M	+0.25%
Mar 31, 2023	1,868.88	1,821.62	2,137.56	1,764.26	15.06M	+2.59%
Feb 28, 2023	1,821.62	1,604.69	1,852.48	1,371.47	21.96M	+13.52%
Jan 31, 2023	1,604.69	1,585.27	1,738.87	1,464.10	14.07M	+1.23%
Dec 31, 2022	1,585.27	1,195.69	1,678.27	1,191.67	15.36M	+32.58%
Nov 30, 2022	1,195.67	1,294.40	1,348.43	1,152.54	11.56M	-7.63%
Oct 31, 2022	1,294.41	1,572.89	1,666.17	1,076.29	25.72M	-17.70%
Sep 30, 2022	1,572.89	1,328.73	1,660.13	1,196.63	18.77M	+18.37%
Aug 31, 2022	1,328.73	1,554.57	1,788.10	1,222.29	26.34M	-14.56%
Jul 31, 2022	1,555.12	1,679.98	2,028.40	1,424.33	30.21M	-7.43%
Jun 30, 2022	1,680.00	1,069.13	1,781.39	1,012.29	45.65M	+57.15%
May 31, 2022	1,069.05	1,941.81	1,971.22	883.35	48.62M	-44.95%
Apr 30, 2022	1,941.79	2,727.20	2,963.54	1,708.62	30.39M	-28.80%
Mar 31, 2022	2,727.18	3,282.33	3,579.82	2,716.31	16.66M	-16.91%
Feb 28, 2022	3,282.35	2,922.44	3,481.23	2,447.74	18.38B	+12.31%
Jan 31, 2022	2,922.50	2,686.82	3,277.36	2,303.07	18.06M	+8.77%
Dec 31, 2021	2,686.82	3,677.69	3,889.07	2,161.55	19.15M	-26.95%
Nov 30, 2021	3,677.85	4,628.72	4,778.14	3,533.02	18.28M	-20.55%
Oct 31, 2021	4,628.90	4,287.41	4,864.06	3,917.43	17.12M	+7.96%
Sep 30, 2021	4,287.56	2,999.86	4,458.30	2,972.75	21.57M	+42.89%
Aug 31, 2021	3,000.59	3,429.65	4,024.89	2,659.71	30.69M	-12.54%
Jul 31, 2021	3,430.74	2,530.94	3,467.42	2,445.49	26.43M	+35.49%
Jun 30, 2021	2,532.19	2,274.50	2,551.68	1,720.70	33.53M	+11.36%
May 31, 2021	2,273.84	2,707.94	2,889.19	1,707.24	51.29M	-16.05%
Apr 30, 2021	2,708.47	2,772.27	4,366.10	1,739.91	81.40M	-2.32%
Mar 31, 2021	2,772.78	1,918.82	2,797.61	1,897.38	61.47M	+44.57%
Feb 28, 2021	1,917.99	1,418.91	1,945.40	1,411.55	50.74M	+35.19%
Jan 31, 2021	1,418.76	1,312.69	2,040.79	1,272.09	53.76M	+8.08%
Dec 31, 2020	1,312.73	735.87	1,474.68	715.15	79.04M	+78.37%
Nov 30, 2020	735.94	616.78	757.11	530.88	300.29M	+19.49%
Oct 31, 2020	615.92	386.36	621.70	370.96	437.16M	+59.39%
Sep 30, 2020	386.42	359.50	420.12	334.11	209.52M	+7.52%
Aug 31, 2020	359.39	433.89	488.24	314.13	410.26M	-17.17%
Jul 31, 2020	433.90	346.48	444.86	335.76	246.93M	+25.22%
Jun 30, 2020	346.51	225.61	349.34	223.53	237.53M	+53.58%
May 31, 2020	225.63	231.80	253.21	217.11	220.37M	-2.67%
Apr 30, 2020	231.81	206.23	246.55	177.43	549.27M	+12.41%
Mar 31, 2020	206.22	132.88	227.05	128.93	752.88M	+55.22%
Feb 29, 2020	132.86	217.51	251.55	88.50	798.97M	-38.92%
Jan 31, 2020	217.52	179.88	287.93	179.88	565.04M	+20.91%
Dec 31, 2019	179.91	129.21	186.76	126.05	412.79M	+39.24%
Nov 30, 2019	129.21	151.93	152.33	117.14	378.34M	-14.97%
Oct 31, 2019	151.95	182.38	194.11	131.78	330.12M	-16.68%
Sep 30, 2019	182.37	180.36	195.87	154.42	353.37M	+1.12%
Aug 31, 2019	180.35	171.62	223.35	153.17	294.65M	+5.09%
Jul 31, 2019	171.62	217.23	237.47	106.01	286.37M	-20.99%
Jun 30, 2019	217.23	292.23	317.94	192.91	290.11M	-25.66%
May 31, 2019	292.21	267.94	364.89	227.00	261.02M	+9.04%
Apr 30, 2019	267.99	161.84	287.99	158.85	420.62M	+65.63%
Mar 31, 2019	161.80	141.77	185.54	140.26	357.03M	+14.11%
